record_type|record_id|title|category|description|value|unit|date|source_url|source_name|retrieved_at
resource|resource_cdf_2024|KAFUE 2024 FINAL CDF SUBMISSION|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2024/09/KAFUE-2024-FINAL-CDF-SUBMISSION.xlsx|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_projects_2025|2025 APPROVED CDF COMMUNITY PROJECTS-KAFUE|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2025/07/2025-APPROVED-CDF-COMMUNITY-PROJECTS-KAFUE.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_budget_2025|KAFUE TOWN COUNCIL 2025 BUDGET|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2025/03/KAFUE-TOWN-COUNCIL-2025-BUDGET.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_financial_statements_2024|KAFUE TOWN COUNCIL 2024 FINANCIAL STATEMENTS|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2025/11/KAFUE-TOWN-COUNCIL-2024-FS.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_cdf_returns_2024|CDF EXPENDITURE RETURNS KAFUE 2024|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2024/12/CDF-EXPENDITURE-RETURNS-KAFUE-2024.xlsx|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_budget_performance_2026|KAFUE TOWN COUNCIL BUDGET PERFORMANCE REPORT AS AT JUNE 2026|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2026/08/KAFUE-TOWN-COUNCIL-BUDGET-PERFORMANCE-REPORT-AS-AT-JUNE-2026.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_minutes_2025|FINAL COUNCIL MINUTES 30TH MAY 2025|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2025/11/Final_Council_Minute_Book_30-MAY_2025.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
news|news_3023|2026 Revised Cash for Work (R-CFW)|official_news|Government programme expanded to all 116 districts and targeted over 1.5 million beneficiaries|| |2025-12-30|https://www.kafuecouncil.gov.zm/?p=3023|Kafue Town Council|2026-09-11
news|news_2902|HANDOVER CEREMONY OF MOTORBIKES|official_news|COSP procured and handed over 9 motorbikes to Kafue Town Council|9|motorbikes|2025-12-04|https://www.kafuecouncil.gov.zm/?p=2902|Kafue Town Council|2026-09-11
news|news_2473|KAFUE DISTRICT CELEBRATES WORLD FISHERIES DAY|official_news|Council event highlighted sustainable fisheries and included free health screening services||||2025-11-21|https://www.kafuecouncil.gov.zm/?p=2473|Kafue Town Council|2026-09-11
